file_path,file_name,file_size,location,status
/content/drive/My Drive/organized_ai_models/misc/facebook/opt-1.3b/model-00002-of-00002.safetensors,model-00002-of-00002.safetensors,268568856,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/google/pegasus-cnn_dailymail/model.safetensors,model.safetensors,1472877464,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/microsoft/DialoGPT-medium/model.safetensors,model.safetensors,1419322880,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/Salesforce/codegen-350M-mono/model.safetensors,model.safetensors,1426867192,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/nlp/models--EleutherAI--gpt-neox-20b/.no_exist/c292233c833e336628618a88a648727eb3dff0a7/model.safetensors,model.safetensors,0,Active,Unknown Format
/content/drive/My Drive/models/models--distilgpt2/snapshots/2290a62682d06624634c1f46a6ad5be0f47f38aa/model.safetensors,model.safetensors,352824413,Active,Unknown Format
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (21).bin,pytorch_model (21).bin,5312753599,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (28).bin,pytorch_model (28).bin,1625270765,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (27).bin,pytorch_model (27).bin,797367631,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (7).bin,pytorch_model (7).bin,3055735323,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (29).bin,pytorch_model (29).bin,2444714899,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (19).bin,pytorch_model (19).bin,526017373,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (24).bin,pytorch_model (24).bin,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (24).bin'
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (14).bin,pytorch_model (14).bin,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (14).bin'
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (22).bin,pytorch_model (22).bin,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (22).bin'
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (18).bin,pytorch_model (18).bin,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (18).bin'
/content/drive/My Drive/AI_Models_Consolidated/tf_model.h5,tf_model.h5,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/AI_Models_Consolidated/tf_model.h5'
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (23).bin,pytorch_model (23).bin,496313727,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (26).bin,pytorch_model (26).bin,1425744429,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model.bin,pytorch_model.bin,526017373,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (25).bin,pytorch_model (25).bin,1118531895,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (20).bin,pytorch_model (20).bin,496313727,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/pytorch_model (17).bin,pytorch_model (17).bin,1118531895,Active,Valid
/content/drive/My Drive/AI_Models_Consolidated/weight.bin,weight.bin,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/AI_Models_Consolidated/weight.bin'
